bhk,type,locality,area,price,price_unit,region,status,age,price _INR,Rent_price
3,Apartment,Priyanka Unite,1655,1.55,Cr,Ulwe,Ready to move,New,15500000,12916.66667
3,Apartment, Kartik Regency,1100,1.25,Cr,Belapur,Ready to move,Resale,12500000,10416.66667
2,Apartment,Runwal Bliss Wing B,631,1.5,Cr,Kanjurmarg,Under Construction,Unknown,15000000,12500
1,Apartment,Raj Akshay,675,61.5,L,Mira Road East,Under Construction,New,6150000,5125
1,Studio Apartment,Ganraj Eknath Residency,345,21,L,Dombivali,Under Construction,New,2100000,1750
2,Apartment,Godrej Riviera Phase 1,800,52.49,L,Kalyan West,Under Construction,New,5249000,4374.166667
2,Apartment,Arkade Earth Fern,681,1.89,Cr,Kanjurmarg,Under Construction,New,18900000,15750
2,Apartment,Arihant Amisha Phase II,824,39,L,Taloja,Under Construction,Unknown,3900000,3250
2,Apartment,RNA NG Ocean Pearl,1040,82.25,L,Mira Road East,Ready to move,New,8225000,6854.166667
3,Apartment,Unique Borivali Yash Prabha CHS Ltd,1166,3,Cr,Borivali West,Ready to move,Unknown,30000000,25000
3,Apartment,Paradise Sai World Empire,2215,2.53,Cr,Kharghar,Under Construction,Unknown,25300000,21083.33333
2,Apartment,Radheya Sai Enclave,1000,49.92,L,Naigaon East,Ready to move,Resale,4992000,4160
4,Apartment,Raheja Solaris,2157,4.6,Cr,Sanpada,Under Construction,New,46000000,38333.33333
2,Apartment,Shapoorji Pallonji Joyville Virar,644,64.6,L,Virar,Under Construction,New,6460000,5383.333333
2,Apartment,Lodha Aurum Grande,1197,2.01,Cr,Kanjurmarg,Ready to move,Resale,20100000,16750
2,Apartment, Radhe Krishna Heights,700,29.6,L,Karjat,Ready to move,New,2960000,2466.666667
3,Apartment,Star Siddhi Gloria,1266,1.45,Cr,Kharghar,Under Construction,Unknown,14500000,12083.33333
2,Apartment,Gurukrupa Marina Enclave,1000,1.55,Cr,Malad West,Ready to move,Resale,15500000,12916.66667
1,Apartment,Dosti Nest Phase 1,550,61.45,L,Thane West,Under Construction,New,6145000,5120.833333
2,Apartment,Avant Hillway,960,1.16,Cr,Goregaon East,Under Construction,New,11600000,9666.666667
2,Apartment,Dosti West County,744,1.01,Cr,Thane West,Under Construction,New,10100000,8416.666667
4,Apartment,Hiranandani One Hiranandani Park,2200,4.95,Cr,Thane West,Ready to move,New,49500000,41250
2,Apartment,Balaji Balaji Vijay Sapphire,1000,1.1,Cr,Panvel,Ready to move,Resale,11000000,9166.666667
3,Apartment,Tycoons Epicenter,1521,1.2,Cr,Kalyan West,Under Construction,New,12000000,10000
1,Apartment,A Plus Golden Veda,500,17,L,Badlapur West,Under Construction,New,1700000,1416.666667
2,Apartment,DLH Ashoka,1020,1.42,Cr,Thane West,Ready to move,New,14200000,11833.33333
2,Apartment,Shapoorji Pallonji BKC 28,890,2.49,Cr,Bandra East,Ready to move,New,24900000,20750
2,Apartment,Dosti West County,895,1.11,Cr,Thane West,Ready to move,New,11100000,9250
2,Apartment,Vihang Vermont,850,90,L,Thane West,Ready to move,Resale,9000000,7500
2,Apartment,B G Shirke Monte Verita West Tower,618,1.46,Cr,Borivali East,Under Construction,New,14600000,12166.66667
1,Studio Apartment,Divine Imperial,520,33,L,Ulwe,Ready to move,Resale,3300000,2750
1,Apartment,Kalpataru Srishti Namaah,720,64,L,Mira Road East,Under Construction,New,6400000,5333.333333
2,Apartment,Hiranandani Castalia,949,1.99,Cr,Kandivali West,Under Construction,Unknown,19900000,16583.33333
3,Apartment,Shree Developers Platinum Tower,1250,1.85,Cr,Kandivali West,Ready to move,Resale,18500000,15416.66667
2,Apartment,Regency Antilia Phase V Avana,878,62,L,Ulhasnagar,Under Construction,Unknown,6200000,5166.666667
2,Apartment,Kashish Iris At Kashishpark,859,1.89,Cr,Thane West,Under Construction,New,18900000,15750
2,Apartment,Nahar Amrit Shakti,970,1.9,Cr,Powai,Ready to move,Resale,19000000,15833.33333
2,Apartment,Aristone Vasudev Paradise,582,80.02,L,Thane West,Under Construction,New,8002000,6668.333333
1,Apartment,Sheth Vasant Oasis,665,1.2,Cr,Andheri East,Ready to move,Resale,12000000,10000
1,Apartment,Lodha Violet E AND F,334,30.9,L,Taloja,Under Construction,New,3090000,2575
1,Apartment,Agarwal Paramount,620,39.35,L,Virar,Ready to move,New,3935000,3279.166667
2,Apartment,Quality Victoria,740,2.31,Cr,Ghatkopar East,Ready to move,Resale,23100000,19250
3,Apartment,Piramal Vaikunth Thane,1140,2.5,Cr,Thane West,Ready to move,New,25000000,20833.33333
3,Apartment,Neelkanth Greens,1650,2,Cr,Thane West,Ready to move,Unknown,20000000,16666.66667
2,Apartment,PNK Shanti Garden,1020,88,L,Mira Road East,Ready to move,New,8800000,7333.333333
1,Apartment,Reputed Builder Elara,785,76.01,L,Mira Road East,Ready to move,New,7601000,6334.166667
1,Apartment, Sanskar Dham,660,22.5,L,Badlapur,Ready to move,Unknown,2250000,1875
2,Apartment,SKD Pinnacolo And Pinnacolo NX,1040,89,L,Mira Road East,Ready to move,Resale,8900000,7416.666667
3,Apartment,Lodha The Park Tower 6,1092,6,Cr,Lower Parel,Ready to move,Resale,60000000,50000
2,Apartment,Dynamic Crest Phase I Rimo Everest,520,66.66,L,Dombivali,Under Construction,New,6666000,5555
1,Apartment,Prithvi Prithvi Pride Phase I,690,67,L,Mira Road East,Ready to move,New,6700000,5583.333333
6,Apartment,Piramal Aranya Avyan Tower,3130,17.43,Cr,Byculla,Under Construction,New,174300000,145250
2,Apartment,Balaji Heights,1365,1.5,Cr,Kharghar,Ready to move,Resale,15000000,12500
3,Apartment,Shree Developers Platinum Tower,1250,1.58,Cr,Kandivali West,Ready to move,Resale,15800000,13166.66667
1,Apartment,Patel Pramukh Sadan,569,24,L,Ambernath West,Ready to move,Unknown,2400000,2000
2,Apartment,Paradise Sai World Legend,1305,90,L,Ulhasnagar,Under Construction,Unknown,9000000,7500
1,Apartment,JP Atria,650,79,L,Mira Road East,Ready to move,New,7900000,6583.333333
2,Apartment,MICL Aaradhya Highpark,877,1.17,Cr,Bhayandar East,Under Construction,New,11700000,9750
2,Apartment,Hiray Developers Oleander,900,81,L,Ulwe,Under Construction,Unknown,8100000,6750
2,Apartment,Hiranandani Castle Rock,899,2.47,Cr,Powai,Ready to move,New,24700000,20583.33333
2,Apartment,Gurukrupa Marina Enclave,1150,1.38,Cr,Malad West,Ready to move,Resale,13800000,11500
1,Apartment,Runwal Lily at Runwal Forest,650,1.34,Cr,Kanjurmarg,Under Construction,New,13400000,11166.66667
4,Apartment,Rajesh White City,2400,4.75,Cr,Kandivali East,Ready to move,Resale,47500000,39583.33333
2,Apartment,Lodha Codename Central,540,58.49,L,Dombivali,Under Construction,Unknown,5849000,4874.166667
1,Apartment,Radhey Radhey Galaxy Phase 2,610,24,L,Karjat,Under Construction,New,2400000,2000
2,Apartment,Kanakia Kanakia Sevens,880,1.75,Cr,Andheri East,Ready to move,New,17500000,14583.33333
2,Apartment,Kohinoor Eden B7,555,46.51,L,Kalyan East,Under Construction,New,4651000,3875.833333
4,Apartment,Paradise Sai World City Panvel,1593,3.23,Cr,Panvel,Ready to move,New,32300000,26916.66667
3,Apartment,Hiranandani Meadows,1750,3.25,Cr,Thane West,Ready to move,Unknown,32500000,27083.33333
2,Apartment,Lodha Codename Golden Dream,910,43,L,Taloja,Under Construction,New,4300000,3583.333333
2,Apartment,Piramal Vaikunth Cluster 1,1519,1.51,Cr,Thane West,Under Construction,Unknown,15100000,12583.33333
2,Apartment,Lodha Codename Premier,918,65,L,Dombivali,Ready to move,New,6500000,5416.666667
2,Apartment,Piramal Revanta,969,2.7,Cr,Mulund West,Under Construction,New,27000000,22500
2,Apartment,Sonal Heights,775,1.47,Cr,Kurla,Under Construction,Unknown,14700000,12250
1,Apartment,JP North Barcelona,417,63.8,L,Mira Road East,Under Construction,New,6380000,5316.666667
1,Apartment,Reputed Builder Vasant Marvel Glory East,560,1.1,Cr,Kandivali East,Ready to move,Resale,11000000,9166.666667
1,Apartment,Panom Park,562,1,Cr,Andheri East,Under Construction,Unknown,10000000,8333.333333
1,Studio Apartment,Unimont Aurum,410,15,L,Karjat,Under Construction,New,1500000,1250
6,Apartment,Indiabulls Greens,4000,4.25,Cr,Panvel,Ready to move,New,42500000,35416.66667
1,Apartment,Siddharth Riverwood Park,550,45.5,L,Dombivali,Ready to move,New,4550000,3791.666667
2,Apartment,Arihant Clan Aalishan Phase 1,920,1.25,Cr,Kharghar,Ready to move,Unknown,12500000,10416.66667
1,Apartment,Bilad Hillmark Heights,665,39.5,L,Taloja,Ready to move,Unknown,3950000,3291.666667
2,Apartment,Bholenath Hresa Sainagar Apartment Pvt Ltd,900,2.2,Cr,Chembur,Under Construction,New,22000000,18333.33333
3,Apartment,Hiranandani Meadows,1500,2.95,Cr,Thane West,Ready to move,Resale,29500000,24583.33333
2,Apartment,Reputed Builder New Mhada Towers,958,1.89,Cr,Andheri West,Ready to move,Resale,18900000,15750
2,Apartment,Risland Risland The Icon,636,1.24,Cr,Thane West,Under Construction,New,12400000,10333.33333
2,Apartment,Kanakia Paris,985,3.25,Cr,Bandra Kurla Complex,Ready to move,New,32500000,27083.33333
3,Apartment,Hiranandani Meadows,1130,1.85,Cr,Thane West,Ready to move,Unknown,18500000,15416.66667
1,Apartment,Unique Ivana,730,60.77,L,Mira Road East,Under Construction,New,6077000,5064.166667
2,Apartment,Satyam Alliaance Icon,1280,1.33,Cr,Ghansoli,Under Construction,New,13300000,11083.33333
2,Apartment,Runwal Gardens,960,63.35,L,Dombivali,Ready to move,New,6335000,5279.166667
1,Apartment,Reputed Builder Arjuna Park CHS,750,84,L,Thane West,Ready to move,Resale,8400000,7000
1,Apartment,A Plus Golden Ville,510,18,L,Badlapur West,Under Construction,New,1800000,1500
3,Apartment,Lodha Palava Lakeshore Greens,1000,67.99,L,Dombivali,Ready to move,New,6799000,5665.833333
3,Apartment,Godrej Emerald,1156,1.72,Cr,Thane West,Ready to move,New,17200000,14333.33333
2,Apartment,Varun Garden,1000,1.36,Cr,Thane West,Ready to move,Resale,13600000,11333.33333
1,Apartment,Salasar Aashirwad,513,53,L,Mira Road East,Ready to move,New,5300000,4416.666667
2,Apartment,Venus Skky City Phase I,900,52.4,L,Dombivali,Ready to move,New,5240000,4366.666667
1,Apartment,Anant Metropolis Insignia Towers,716,42.12,L,Thane West,Under Construction,New,4212000,3510
1,Studio Apartment,Sai Shraddha Excellence Residency,395,12.72,L,Saphale,Ready to move,New,1272000,1060
3,Apartment,Wadhwa Courtyard Rozanne,2160,3.35,Cr,Thane West,Ready to move,Unknown,33500000,27916.66667
2,Apartment,Dosti West County Phase 4 Dosti Pine,713,1.06,Cr,Thane West,Under Construction,New,10600000,8833.333333
2,Apartment,Poonam Vaishno Heights,926,1.56,Cr,Malad East,Under Construction,New,15600000,13000
2,Apartment,Raj 127 Raj Homes A Wing,979,95.11,L,Mira Road East,Ready to move,Resale,9511000,7925.833333
3,Apartment,Hubtown Sunstone,1540,4.52,Cr,Bandra East,Ready to move,Resale,45200000,37666.66667
3,Apartment,Rassaz Rassaz Greens Tower C D And E,1450,1.35,Cr,Mira Road East,Under Construction,New,13500000,11250
4,Apartment,Neelkanth Palms,1750,3.25,Cr,Thane West,Ready to move,Unknown,32500000,27083.33333
1,Apartment,Homewell Agarwal Maple,600,80,L,Borivali West,Under Construction,New,8000000,6666.666667
1,Apartment,Bhoomi Acres,750,69.5,L,Thane West,Ready to move,Resale,6950000,5791.666667
1,Apartment,Kohinoor Eden B1,363,30.97,L,Kalyan East,Under Construction,New,3097000,2580.833333
1,Apartment,Adityaraj Shanti Sadan,400,71,L,Vikhroli,Under Construction,New,7100000,5916.666667
1,Apartment,Strawberry The Address,730,62,L,Mira Road East,Ready to move,Resale,6200000,5166.666667
2,Apartment,Adinath Group Love Nest,1040,82,L,Kamothe,Ready to move,Resale,8200000,6833.333333
3,Apartment,Sheth Grandeur,1050,2.4,Cr,Kandivali East,Ready to move,Resale,24000000,20000
3,Apartment,SD Epsilon,1550,3,Cr,Kandivali East,Under Construction,Resale,30000000,25000
2,Apartment,Rohit Poonam Square,668,75,L,Mira Road East,Ready to move,New,7500000,6250
1,Apartment,JP Codename HOTCAKE,756,60,L,Mira Road East,Ready to move,New,6000000,5000
2,Apartment,Techno Vision Vivanta Marvel,1050,93,L,Mira Road East,Ready to move,Resale,9300000,7750
1,Apartment,Hiya Regency,461,57,L,Bhayandar East,Under Construction,New,5700000,4750
2,Apartment,Reputed Builder Krishna Complex,1250,21,L,Sanpada,Ready to move,Resale,2100000,1750
1,Apartment,JP North Elara,650,68,L,Mira Road East,Ready to move,Resale,6800000,5666.666667
2,Apartment,Reputed Builder Lloyd Estate,1014,2,Cr,Wadala,Ready to move,Resale,20000000,16666.66667
5,Apartment,Hiranandani Estate,5868,8.5,Cr,Thane West,Ready to move,Unknown,85000000,70833.33333
1,Apartment,Unique Elanza,320,52.49,L,Mira Road East,Under Construction,New,5249000,4374.166667
2,Apartment,Umiya Oasis,530,77,L,Mira Road East,Under Construction,New,7700000,6416.666667
3,Apartment,SM Vision,1560,1.47,Cr,Ulwe,Ready to move,Resale,14700000,12250
2,Apartment,Lucent Fressia Ranibello,1235,1.6,Cr,Malad East,Ready to move,New,16000000,13333.33333
4,Apartment,Sheth Avalon,2579,4.5,Cr,Thane West,Ready to move,Unknown,45000000,37500
2,Apartment,Thapar Suburbia,950,2.05,Cr,Chembur,Under Construction,Unknown,20500000,17083.33333
1,Apartment,Kakad Paradise Phase 2,780,64,L,Mira Road East,Ready to move,Resale,6400000,5333.333333
2,Apartment,Indiabulls Blu Tower A,880,5.25,Cr,Worli,Ready to move,Resale,52500000,43750
2,Apartment,Reputed Builder AkalComplex,710,1.5,Cr,Andheri East,Ready to move,Resale,15000000,12500
1,Apartment,Raunak Unnati Woods Phase 7,480,59.99,L,Thane West,Under Construction,New,5999000,4999.166667
2,Apartment,Origin Oriana,659,94.11,L,Mira Road East,Under Construction,New,9411000,7842.5
2,Apartment,KUL Manav Kalyan,1200,2.3,Cr,Goregaon West,Ready to move,Resale,23000000,19166.66667
2,Apartment,Balaji Avenue,1600,78,L,Ulwe,Under Construction,New,7800000,6500
1,Apartment,Hariko Skylon Suburbia,608,95.55,L,Kandivali West,Under Construction,New,9555000,7962.5
3,Apartment,Rajesh White City,1502,3.3,Cr,Kandivali East,Ready to move,Resale,33000000,27500
1,Apartment,Mangeshi Mangeshi Shrushti II,699,50,L,Kalyan West,Ready to move,Unknown,5000000,4166.666667
1,Apartment,Arihant 5 Anaika,486,28,L,Taloja,Under Construction,Unknown,2800000,2333.333333
2,Apartment,Rustomjee Meridian,1065,1.4,Cr,Kandivali West,Ready to move,New,14000000,11666.66667
2,Apartment,Pranjee Garden City Phase 2,930,39,L,Badlapur East,Ready to move,New,3900000,3250
2,Apartment,RNA NG NG Diamond Hill B Phase I,999,82,L,Bhayandar East,Ready to move,New,8200000,6833.333333
2,Apartment,Sharvari Primero,1140,79,L,Kalyan West,Ready to move,Resale,7900000,6583.333333
2,Apartment,3 Aces The Signature Tower,887,1.26,Cr,Vikhroli,Under Construction,New,12600000,10500
1,Apartment,Rashmi Star City,550,22,L,Naigaon East,Ready to move,Resale,2200000,1833.333333
4,Apartment,Piramal Mahalaxmi North Tower 3,2050,12.5,Cr,Mahalaxmi,Under Construction,New,125000000,104166.6667
3,Apartment,Sunteck City 4th Avenue,1258,2,Cr,Goregaon West,Under Construction,Unknown,20000000,16666.66667
2,Apartment,Tharwani Rosewood,962,1.4,Cr,Kharghar,Ready to move,Resale,14000000,11666.66667
4,Apartment,ACME Ozone Phase 2,2200,2.6,Cr,Thane West,Ready to move,Unknown,26000000,21666.66667
2,Apartment,Kalpataru Paramount,816,99,L,Thane West,Under Construction,New,9900000,8250
1,Apartment,Swaroop Marvel Gold Phase 1,615,80,L,Bhandup West,Ready to move,Resale,8000000,6666.666667
2,Apartment,Tirupati Pushp,850,85,L,Bhayandar East,Ready to move,Resale,8500000,7083.333333
3,Apartment,Reputed Builder Seawind Residency,1650,2.5,Cr,Koper Khairane,Ready to move,Resale,25000000,20833.33333
2,Apartment,Godrej Emerald,790,1.1,Cr,Thane West,Under Construction,New,11000000,9166.666667
3,Apartment,Kalpataru Kalpataru Vienta,1550,3.52,Cr,Kandivali East,Under Construction,New,35200000,29333.33333
2,Apartment,Siddha Sky Phase 2,650,99,L,Sion,Under Construction,Unknown,9900000,8250
2,Apartment,Shree Naman Premier,600,1.49,Cr,Andheri East,Ready to move,New,14900000,12416.66667
1,Apartment,Shree Mishal Kaveri Heights,575,86,L,Ghatkopar East,Under Construction,Unknown,8600000,7166.666667
2,Apartment,Reputed Builder Sumer NagarNo1,800,1.8,Cr,Borivali West,Ready to move,Resale,18000000,15000
1,Apartment,Ahuja Sea Crown,620,95,L,Kandivali West,Ready to move,Resale,9500000,7916.666667
1,Apartment,Regency Bright Apartment,420,1.05,Cr,Santacruz East,Ready to move,Resale,10500000,8750
2,Apartment,Paradise Sai Mannat,1150,1.5,Cr,Kharghar,Ready to move,Resale,15000000,12500
2,Apartment,Rite Perimto,837,1.62,Cr,Borivali East,Ready to move,Resale,16200000,13500
1,Apartment,RNA NG NG Diamond Hill B Phase I,695,58,L,Bhayandar East,Under Construction,New,5800000,4833.333333
2,Apartment,Runwal Bliss Wing B,1434,2.05,Cr,Kanjurmarg,Ready to move,New,20500000,17083.33333
2,Apartment,Kalpataru Paramount,1102,1.54,Cr,Thane West,Under Construction,New,15400000,12833.33333
3,Apartment,Lodha Woods,1302,3,Cr,Kandivali East,Under Construction,New,30000000,25000
2,Apartment,PNK Space Tiara Hills Phase I Bldg No 3 5 And 2,875,60.77,L,Mira Road East,Under Construction,New,6077000,5064.166667
1,Apartment,Swanand Swanand Bliss,640,24,L,Ambernath East,Under Construction,Unknown,2400000,2000
3,Apartment,Arihant Residency,1450,2.25,Cr,Sion,Under Construction,New,22500000,18750
1,Apartment,Gold Plaza Rangari Heights,420,1.5,Cr,Mazagaon,Under Construction,New,15000000,12500
2,Apartment,Reputed Builder Shiv Veer,850,1.05,Cr,Kandivali West,Ready to move,Resale,10500000,8750
1,Apartment,Apex Green Wood,504,82,L,Borivali East,Under Construction,New,8200000,6833.333333
2,Apartment,Swaraj Homes Gauri Nandan,1220,1.38,Cr,Nerul,Ready to move,Resale,13800000,11500
4,Apartment,Sheth Avalon,2579,4.5,Cr,Thane West,Ready to move,Unknown,45000000,37500
2,Apartment,Shree Saibaba Grihanirmiti Ashar Metro Towers A And B Wings,825,1.08,Cr,Thane West,Under Construction,New,10800000,9000
1,Apartment,Raj Tulsi Aangan,630,21,L,Badlapur East,Under Construction,Resale,2100000,1750
4,Apartment,Bhagwati Eleganza,1270,1.78,Cr,Ghansoli,Ready to move,Resale,17800000,14833.33333
3,Apartment,Rosa Bella,1350,1.5,Cr,Thane West,Ready to move,Unknown,15000000,12500
3,Apartment,Giriraj Horizon,1580,1.65,Cr,Kharghar,Ready to move,New,16500000,13750
1,Apartment,Arkade Art,655,63,L,Mira Road East,Ready to move,Resale,6300000,5250
3,Apartment,Ashford Royale,1750,2.62,Cr,Mulund West,Ready to move,New,26200000,21833.33333
1,Apartment,KP Krishna,658,1.1,Cr,Goregaon East,Ready to move,New,11000000,9166.666667
2,Apartment,Nagraj Mutha Mount Casa,1032,1.56,Cr,Thane West,Under Construction,New,15600000,13000
1,Apartment,HDIL Dreams Tower,625,1.1,Cr,Bhandup West,Ready to move,Resale,11000000,9166.666667
2,Apartment,Kalpataru Hills,1065,1.15,Cr,Thane West,Ready to move,Unknown,11500000,9583.333333
1,Apartment,Sheth Sheth Clarion,500,1.05,Cr,Kandivali East,Ready to move,Resale,10500000,8750
2,Apartment,Ashar Edge,960,1.5,Cr,Thane West,Ready to move,Resale,15000000,12500
1,Apartment,Reputed Builder Sai Nagar,475,1,Cr,Andheri West,Ready to move,Resale,10000000,8333.333333
2,Apartment,Unique Vistas,1100,1.2,Cr,Thane West,Under Construction,New,12000000,10000
2,Apartment,Seema Rajdhani,900,1.9,Cr,Ghatkopar East,Under Construction,New,19000000,15833.33333
2,Apartment,Lodha Bellagio,1250,2.39,Cr,Powai,Under Construction,New,23900000,19916.66667
2,Apartment,Shreenath Nagar No 1 And 2,925,38,L,Nala Sopara,Ready to move,Resale,3800000,3166.666667
2,Apartment,Sandhya Ashray CHSL,864,1.25,Cr,Kandivali West,Under Construction,Unknown,12500000,10416.66667
1,Apartment,SMGK Urbana Heights,618,1,Cr,Jogeshwari West,Under Construction,Unknown,10000000,8333.333333
4,Apartment,Godrej Platinum,2650,8.78,Cr,Vikhroli,Ready to move,New,87800000,73166.66667
1,Apartment,Hariko Heights,650,61,L,Bhayandar East,Under Construction,New,6100000,5083.333333
1,Apartment,Raunak Unnati Woods Phase 7,600,57,L,Thane West,Ready to move,Resale,5700000,4750
6,Apartment,Ultra Space Insignia,2900,10.5,Cr,Santacruz East,Ready to move,Resale,105000000,87500
3,Apartment,Reputed Builder Amisha Garden,1400,1.15,Cr,Mira Road East,Ready to move,New,11500000,9583.333333
1,Apartment,JP North,525,52,L,Mira Road East,Ready to move,Resale,5200000,4333.333333
1,Apartment,RNA NG N G Valencia Phase II,346,58.17,L,Mira Road East,Ready to move,New,5817000,4847.5
1,Apartment,Reputed Builder River Park Apartments,570,92.11,L,Kandivali East,Ready to move,Resale,9211000,7675.833333
3,Apartment,Uma Serita,1800,1.65,Cr,Thane West,Ready to move,Resale,16500000,13750
2,Apartment,Patel Pramukh Sadan,740,32,L,Ambernath West,Ready to move,Unknown,3200000,2666.666667
1,Apartment,Veena Sitar,580,1.3,Cr,Kandivali West,Ready to move,Resale,13000000,10833.33333
2,Apartment,Laxmi Avenue D Global City,790,33.99,L,Virar,Ready to move,Resale,3399000,2832.5
2,Apartment,Kohinoor City,1050,1.75,Cr,Kurla,Ready to move,Resale,17500000,14583.33333
1,Apartment,Om Shree Tirupati Balaji Tirupati Pooja,634,62,L,Bhayandar East,Under Construction,New,6200000,5166.666667
2,Apartment,Neelkanth Mansoravar,1050,1.7,Cr,Thane West,Ready to move,Resale,17000000,14166.66667
3,Apartment,Gurukrupa Vyom,1240,6.82,Cr,Juhu,Under Construction,New,68200000,56833.33333
1,Apartment,Reputed Builder Shree Krishna Complex,650,90,L,Borivali East,Ready to move,Unknown,9000000,7500
2,Apartment,Birla Vanya Phase 2,1250,64,L,Kalyan West,Under Construction,Unknown,6400000,5333.333333
2,Apartment,Sagar Balaji Annex,860,92,L,Mira Road East,Ready to move,Resale,9200000,7666.666667
1,Apartment,Haware Haware Citi,625,41.5,L,Thane West,Ready to move,Resale,4150000,3458.333333
2,Apartment,Regency Sarvam,1090,56,L,Titwala,Ready to move,Unknown,5600000,4666.666667
2,Apartment,Krishh Celestia,1240,1.3,Cr,Kharghar,Ready to move,Resale,13000000,10833.33333
3,Apartment,Sheth Avalon,2250,3.25,Cr,Thane West,Ready to move,Unknown,32500000,27083.33333
4,Apartment,Kalpataru Siddhachal Elegant,2815,4,Cr,Thane West,Ready to move,Unknown,40000000,33333.33333
3,Apartment,Deep Homes And Constructions Mumbai Auralis The Twins,1244,2.86,Cr,Thane West,Ready to move,New,28600000,23833.33333
5,Apartment,Regency Antilia,5020,4.32,Cr,Kalyan East,Under Construction,Unknown,43200000,36000
2,Apartment,Ornate Kallisto Phase II,602,57.12,L,Bhiwandi,Under Construction,New,5712000,4760
1,Apartment,Reputed Builder Chandra Darshan Heights,710,55,L,Kamothe,Ready to move,New,5500000,4583.333333
2,Apartment,Paradigm Antalya,693,1.09,Cr,Jogeshwari West,Under Construction,New,10900000,9083.333333
3,Apartment,Lodha Codename Limited Edition,1368,2.53,Cr,Mulund East,Under Construction,New,25300000,21083.33333
3,Apartment,Bombay ICC,1620,6.48,Cr,Wadala,Ready to move,New,64800000,54000
3,Apartment,Dosti Ambrosia,1200,3.43,Cr,Wadala,Ready to move,Resale,34300000,28583.33333
1,Apartment,Topaz Heights,665,27.51,L,Nala Sopara,Ready to move,New,2751000,2292.5
1,Apartment,Man One Park Avenue,590,82,L,Thane West,Under Construction,New,8200000,6833.333333
2,Apartment,Lodha Codename Premier,524,69.98,L,Dombivali,Under Construction,New,6998000,5831.666667
4,Apartment,Kalpataru Siddhachal Elite,2813,3.75,Cr,Thane West,Ready to move,Unknown,37500000,31250
1,Apartment,JP North Elara,638,70,L,Mira Road East,Ready to move,Resale,7000000,5833.333333
5,Apartment,Rustomjee Elements,4650,13.95,Cr,Andheri West,Ready to move,New,139500000,116250
4,Apartment,Kalpataru Siddhachal Elegant,2815,4.75,Cr,Thane West,Ready to move,Unknown,47500000,39583.33333
1,Apartment,JP North Barcelona,670,71.48,L,Mira Road East,Ready to move,New,7148000,5956.666667
3,Apartment,Neelkanth Palms,1225,1.35,Cr,Thane West,Ready to move,Unknown,13500000,11250
2,Apartment,Clan City Turquoise,1050,69,L,Kharghar,Under Construction,New,6900000,5750
1,Apartment,Parinee Essence,444,69,L,Kandivali West,Ready to move,New,6900000,5750
2,Apartment,Shree Shree Haven,950,78.6,L,Mira Road East,Ready to move,Resale,7860000,6550
1,Apartment,Bachraj Landmark,345,37.3,L,Virar,Ready to move,New,3730000,3108.333333
1,Apartment,Crystal Armus A To C,650,95,L,Chembur,Ready to move,Resale,9500000,7916.666667
3,Apartment,Neelam Senroof,1675,2.26,Cr,Nahur East,Ready to move,New,22600000,18833.33333
1,Apartment,Agarwal Paramount,398,39.37,L,Virar,Under Construction,New,3937000,3280.833333
2,Apartment,Sethia Pride Wing A,572,1.4,Cr,Kandivali East,Under Construction,New,14000000,11666.66667
1,Apartment,Sanghvi S3 Skyrise,745,69.4,L,Mira Road East,Ready to move,New,6940000,5783.333333
2,Apartment,Kanakia Zenworld Phase I,975,1.5,Cr,Kanjurmarg,Ready to move,Unknown,15000000,12500
1,Apartment,Aquarius Indus B No 5 Wing F G,280,38.18,L,Nala Sopara,Ready to move,New,3818000,3181.666667
1,Apartment,Mayur Jagannath Galaxy,590,23,L,Badlapur East,Ready to move,Unknown,2300000,1916.666667
1,Apartment,Gurukrupa Guru Anant,297,55.6,L,Ulwe,Ready to move,New,5560000,4633.333333
2,Apartment,Godrej Ascend,1100,1.2,Cr,Thane East,Under Construction,New,12000000,10000
2,Apartment,Labdhi See Breeze,715,2.2,Cr,Wadala,Under Construction,New,22000000,18333.33333
4,Apartment,Kalpataru Siddhachal Elegant,2815,4,Cr,Thane West,Ready to move,Unknown,40000000,33333.33333
1,Apartment,Gurukrupa Gangav,794,1.36,Cr,Ghatkopar East,Under Construction,New,13600000,11333.33333
4,Apartment,L And T Emerald Isle,1652,4.94,Cr,Powai,Ready to move,New,49400000,41166.66667
2,Apartment,I S The Palazzo,780,1.69,Cr,Santacruz East,Under Construction,New,16900000,14083.33333
2,Apartment,Darvesh Darvesh Horizon,878,1,Cr,Mira Road East,Under Construction,New,10000000,8333.333333
3,Apartment,Neelkanth Palms,1480,1.7,Cr,Thane West,Ready to move,Unknown,17000000,14166.66667
2,Apartment,Omkar Alta Monte,884,2.47,Cr,Malad East,Under Construction,New,24700000,20583.33333
1,Apartment,Vijay Galaxy,710,73,L,Thane West,Ready to move,Resale,7300000,6083.333333
1,Apartment,DP Star Trilok,385,78,L,Bhandup West,Under Construction,Resale,7800000,6500
3,Apartment,ACME Ozone Phase 2,1650,1.75,Cr,Thane West,Ready to move,Unknown,17500000,14583.33333
3,Apartment,Sanyam Ashok Odyssey B Wing,1050,2.29,Cr,Ghatkopar West,Under Construction,Unknown,22900000,19083.33333
1,Apartment,Swaminarayan City Phase 1A,470,48.81,L,Dombivali,Under Construction,New,4881000,4067.5
